D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
-1,THMSS22PT0269,1173696,Siyah,2026-04-10,1,,0,Seyit,345,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,345,
-1,TBBSS26CH00001,1141284,Gül Kurusu,2026-04-10,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-1,TBBSS25AI00068,1152321,Siyah,2026-04-10,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Alt kumaşı DOĞUŞ TEKSTİL ' den gelicek üst sakat olduğu için tekrar gönderilecek ( alt kumaşı geldi 01.04.2026
-1,THMSS26PT00227,1160501,Siyah,2026-04-10,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-1,THMSS26PT00040,1160500,Siyah,2026-04-10,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-1,THMSS23PT00165,1160486,Siyah,2026-04-10,1,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
0,TBBAW24AI00003,1144924,Açık Gri,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,17/02/2026 DOĞAN TEKSTİLE RENK ÇALIŞMASI İLETİLDİ 
0,TBBSS25AI00002,1150690,Siyah,2026-04-11,2,,0,Sedat,306,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,306,
0,THMAW21PT0292,1157706,Siyah,2026-04-11,2,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş sıkıntılı olduğu için iade edildi yeni kumaş KARAKOÇ 'tan 09.04.2026 tarihinde gelecek
0,TBBAW23AI00040,1146666,Gri,2026-04-11,2,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Renk çalışması yapılıyor
